name,street,city,state,zip
Demmon School of Beauty,3430 5th Avenue,Lake Charles,LA,"""70607"""
Denham Springs Beauty College,"923 Florida Avenue, S.E.",Denham Springs,LA,"""70726"""
Denison Job Corps Center,10 Opportunity Drive,Denison,IA,
Denison University,100 West College Rd,Granville,OH,"""43023-0713"""
Denmark Technical College,500 Solomon Blatt Blvd,Denmark,SC,"""29042"""
Denmark Technical College,500 Solomon Blatt Blvd,Denmark,SC,"""29042"""
Denver Family Institute,7200 East Hampden Avenue,Denver,CO,"""80224"""
Denver Health Medical Center,"667 Bannock Street, MC0320",Denver,CO,
Denver Health Medical Center,"667 Bannock Street, MC0320",Denver,CO,
Denver Health Medical Center,"667 Bannock Street, MC0320",Denver,CO,
Denver School of Nursing,1401 19th Street,Denver,CO,"""80202"""
Denver School of Nursing,1401 19th Street,Denver,CO,"""80202"""
Denver School of Nursing,1401 19th Street,Denver,CO,"""80202"""
Denver School of Nursing,1401 19th Street,Denver,CO,"""80202"""
Denver Seminary,6399 S. Santa Fe Drive,Littleton,CO,"""80120"""
Denver Seminary,6399 S. Santa Fe Drive,Littleton,CO,"""80120"""
Denver Seminary,6399 S. Santa Fe Drive,Littleton,CO,"""80120"""
Department of the Air Force - Ophthalmic Apprentice Course - Optometric Technician Program,"MIF 5/Sebban Hall, 3098 William Hardee Rd.",JB Ft. Sam Houston,TX,"""78234"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePaul University,1 East Jackson Blvd.,Chicago,IL,"""60604"""
DePauw University,313 S Locust St,Greencastle,IN,"""46135-1772"""
DePauw University,313 S Locust St,Greencastle,IN,"""46135-1772"""
DePauw University,313 S Locust St,Greencastle,IN,"""46135-1772"""
Derech Ayson Rabbinical Seminary,802 Hicksville Road,Far Rockaway,NY,"""11691"""
Derech Ayson Rabbinical Seminary,802 Hicksville Road,Far Rockaway,NY,"""11691"""
Dermal Science International Aesthetics & Nail Academy,"11301 Sunset Hills Road, Suite A5",Reston,VA,"""20190"""
Dermalogica Academy,140 West 22nd Street,New York,NY,"""10011"""
Des Moines Area Community College,2006 S. Ankeny Blvd.,Ankeny,IA,"""50023-3993"""
Des Moines Area Community College,2006 S. Ankeny Blvd.,Ankeny,IA,"""50023-3993"""
Des Moines Area Community College,2006 S. Ankeny Blvd.,Ankeny,IA,"""50023-3993"""
Des Moines Area Community College,2006 S. Ankeny Blvd.,Ankeny,IA,"""50023-3993"""
Des Moines Area Community College,2006 S. Ankeny Blvd.,Ankeny,IA,"""50023-3993"""
Des Moines Area Community College,2006 S. Ankeny Blvd.,Ankeny,IA,"""50023-3993"""
Des Moines Area Community College,2006 S. Ankeny Blvd.,Ankeny,IA,"""50023-3993"""
Des Moines Area Community College,2006 S. Ankeny Blvd.,Ankeny,IA,"""50023-3993"""
Des Moines Area Community College,2006 S. Ankeny Blvd.,Ankeny,IA,"""50023-3993"""
Des Moines Area Community College,2006 S. Ankeny Blvd.,Ankeny,IA,"""50023-3993"""
Des Moines Area Community College,2006 S. Ankeny Blvd.,Ankeny,IA,"""50023-3993"""
Des Moines Area Community College,2006 S. Ankeny Blvd.,Ankeny,IA,"""50023-3993"""
Des Moines Area Community College,2006 S. Ankeny Blvd.,Ankeny,IA,"""50023-3993"""
Des Moines Area Community College,2006 S. Ankeny Blvd.,Ankeny,IA,"""50023-3993"""
Des Moines University - Osteopathic Medical Center,3200 Grand Ave.,Des Moines,IA,"""50312"""
Des Moines University - Osteopathic Medical Center,3200 Grand Ave.,Des Moines,IA,"""50312"""
Des Moines University - Osteopathic Medical Center,3200 Grand Ave.,Des Moines,IA,"""50312"""
Des Moines University - Osteopathic Medical Center,3200 Grand Ave.,Des Moines,IA,"""50312"""
Des Moines University - Osteopathic Medical Center,3200 Grand Ave.,Des Moines,IA,"""50312"""
DeSales University,2755 Station Avenue,Center Valley,PA,"""18034-9568"""
DeSales University,2755 Station Avenue,Center Valley,PA,"""18034-9568"""
DeSales University,2755 Station Avenue,Center Valley,PA,"""18034-9568"""
DeSales University,2755 Station Avenue,Center Valley,PA,"""18034-9568"""
DeSales University,2755 Station Avenue,Center Valley,PA,"""18034-9568"""
DeSales University,2755 Station Avenue,Center Valley,PA,"""18034-9568"""
DeSales University,2755 Station Avenue,Center Valley,PA,"""18034-9568"""
DeSales University,2755 Station Avenue,Center Valley,PA,"""18034-9568"""
DeSales University,2755 Station Avenue,Center Valley,PA,"""18034-9568"""
DeSales University,2755 Station Avenue,Center Valley,PA,"""18034-9568"""
DeSales University,2755 Station Avenue,Center Valley,PA,"""18034-9568"""
DeSales University,2755 Station Avenue,Center Valley,PA,"""18034-9568"""
Desert Oasis Adult School - Ironwood State Prison,19005 Wileys Well Road,Blythe,CA,"""92225"""
Design Institute of San Diego,8555 Commerce Ave,San Diego,CA,"""92121"""
DeSigner Barber & Stylist School LLC,"2409 South 56th Street, Suite 118",Fort Smith,AR,"""72903"""
Designer's Beauty School of Cosmetology,401 Market Street,East Liverpool,OH,"""43920"""
Design's School of Cosmetology,2727 Buena Vista Drive,Paso Robles,CA,"""93446"""
Design's School of Cosmetology,2727 Buena Vista Drive,Paso Robles,CA,"""93446"""
Destination Academy for Spa & Salon Professionals,4280 South Hualapai Way,Las Vegas,NV,"""89147"""
Detroit Business Institute - Downriver,19100 Fort St,Riverview,MI,"""48193"""
Detroit Business Institute - Downriver,19100 Fort St,Riverview,MI,"""48193"""
Detroit Department of Health,1151 Taylor,Detroit,MI,"""48202-1732"""
Detroit Medical Center - Sinai-Grace Hospital,6071 West Outer Drive,Detroit,MI,"""48235"""
Detroit Medical Center - Sinai-Grace Hospital,6071 West Outer Drive,Detroit,MI,"""48235"""
DETROIT PUBLIC SCHOOLS,14111 Puritan,Detroit,MI,
Detroit Receiving Hospital,"4201 St. Antoine Street, Room 2F",Detroit,MI,"""48201"""
DeVoe College of Beauty,750 Bartow Dr,Sierra Vista,AZ,"""85635-1832"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,3005 Highland Parkway,Downers Grove,IL,"""60515-5799"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,3005 Highland Parkway,Downers Grove,IL,"""60515-5799"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,3005 Highland Parkway,Downers Grove,IL,"""60515-5799"""
DeVry University,3005 Highland Parkway,Downers Grove,IL,"""60515-5799"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,3005 Highland Parkway,Downers Grove,IL,"""60515-5799"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,3005 Highland Parkway,Downers Grove,IL,"""60515-5799"""
DeVry University,3005 Highland Parkway,Downers Grove,IL,"""60515-5799"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,3005 Highland Parkway,Downers Grove,IL,"""60515-5799"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,3005 Highland Parkway,Downers Grove,IL,"""60515-5799"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,3005 Highland Parkway,Downers Grove,IL,"""60515-5799"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,3005 Highland Parkway,Downers Grove,IL,"""60515-5799"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,3005 Highland Parkway,Downers Grove,IL,"""60515-5799"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,3005 Highland Parkway,Downers Grove,IL,"""60515-5799"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,3005 Highland Parkway,Downers Grove,IL,"""60515-5799"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,3005 Highland Parkway,Downers Grove,IL,"""60515-5799"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,3005 Highland Parkway,Downers Grove,IL,"""60515-5799"""
DeVry University,One Tower Lane,Oakbrook Terrace,IL,"""60181-4264"""
DeVry University,3005 Highland Parkway,Downers Grove,IL,"""60515-5799"""
DeVry University,3005 Highland Parkway,Downers Grove,IL,"""60515-5799"""
Dewey University - Hato Rey Campus,427 Barbosa Ave. Third Floor,Hato Rey,PR,"""00910-9538"""
Dewey University - Hato Rey Campus,427 Barbosa Ave. Third Floor,Hato Rey,PR,"""00910-9538"""
Dewey University - Hato Rey Campus,427 Barbosa Ave. Third Floor,Hato Rey,PR,"""00910-9538"""
Dewey University - Hato Rey Campus,427 Barbosa Ave. Third Floor,Hato Rey,PR,"""00910-9538"""
Dewey University - Hato Rey Campus,427 Barbosa Ave. Third Floor,Hato Rey,PR,"""00910-9538"""
Dewey University - Hato Rey Campus,427 Barbosa Ave. Third Floor,Hato Rey,PR,"""00910-9538"""
Dewey University - Hato Rey Campus,427 Barbosa Ave. Third Floor,Hato Rey,PR,"""00910-9538"""
Dewey University - Hato Rey Campus,427 Barbosa Ave. Third Floor,Hato Rey,PR,"""00910-9538"""
Dewey University - Hato Rey Campus,427 Barbosa Ave. Third Floor,Hato Rey,PR,"""00910-9538"""
Dewey University - Hato Rey Campus,427 Barbosa Ave. Third Floor,Hato Rey,PR,"""00910-9538"""
DeWolff College Hair Styling and Cosmetology,1500 Eubank N E,Albuquerque,NM,"""87112-4413"""
Diablo Valley College,321 Golf Club Rd,Pleasant Hill,CA,"""94523"""
Diablo Valley College,321 Golf Club Rd,Pleasant Hill,CA,"""94523"""
Diablo Valley College,321 Golf Club Rd,Pleasant Hill,CA,"""94523"""
Diablo Valley College,321 Golf Club Rd,Pleasant Hill,CA,"""94523"""
Diakon Lutheran Social Ministries,"798 Hausman Road, Suite 300",Allentown,PA,"""18104"""
"Dialysis Training Institute, LLC","7872 Walker Street, Suite 251",La Palma,CA,"""90623"""
Diamond Beauty College,"10301 Garvey Avenue, Suite 200",South El Monte,CA,"""91733"""
Diamond Council of America,"3212 West End Avenue, Suite 202",Nashville,TN,"""37203"""
Diamond Oaks Career Development Center,6375 Harrison Avenue,Cincinnati,OH,"""45247-7898"""
Diamond's Barber College,2832 Miller Ave,Fort Worth,TX,"""76105"""
Diamonds Cosmetology College,1950 North Grand,Sherman,TX,"""75090"""
Diamonds Cosmetology College,1950 North Grand,Sherman,TX,"""75090"""
Dickinson College,College and Louther Streets,Carlisle,PA,"""17013-2896"""
Dickinson School of Law,150 South College St,Carlisle,PA,"""17013-2861"""
Dickinson State University,291 Campus Drive,Dickinson,ND,"""58601-4896"""
Dickinson State University,291 Campus Drive,Dickinson,ND,"""58601-4896"""
Dickinson State University,291 Campus Drive,Dickinson,ND,"""58601-4896"""
Dickinson State University,291 Campus Drive,Dickinson,ND,"""58601-4896"""
Dickinson State University,291 Campus Drive,Dickinson,ND,"""58601-4896"""
Dickinson State University,291 Campus Drive,Dickinson,ND,"""58601-4896"""
Dickinson State University,291 Campus Drive,Dickinson,ND,"""58601-4896"""
Dickinson State University,291 Campus Drive,Dickinson,ND,"""58601-4896"""
Didi Hirsch Community Mental Health Center,4760 South Sepulveda Boulevard,Culver City,CA,"""90230-4888"""
Diesel Driving Academy,8067 Airline Highway,Baton Rouge,LA,"""70815"""
Diesel Driving Academy,8067 Airline Highway,Baton Rouge,LA,"""70815"""
Diesel Driving Academy,8067 Airline Highway,Baton Rouge,LA,"""70815"""
Diesel Driving Academy,4709 Greenwood Rd,Shreveport,LA,"""71133-6949"""
Diesel Driving Academy,8067 Airline Highway,Baton Rouge,LA,"""70815"""
Diesel Truck Driver Training School,7190 Elder Lane,Sun Prairie,WI,"""53590"""
DigiPen Institute of Technology,5001-150th Ave NE,Redmond,WA,"""98052"""
Digital Film Academy,"630 9th Avenue, Suite 901",New York,NY,"""10036"""
Digital Media Arts College,5400 Broken Sound Boulevard,Boca Raton,FL,"""33487"""
Digital Media Arts College,5400 Broken Sound Boulevard,Boca Raton,FL,"""33487"""
"DiGrigoli School of Cosmetology, Inc.",1578 Riverdale Street,West Springfield,MA,"""01089"""
Dillard University,2601 Gentilly Blvd,New Orleans,LA,"""70122"""
Dillard University,2601 Gentilly Blvd,New Orleans,LA,"""70122"""
Dillard University,2601 Gentilly Blvd,New Orleans,LA,"""70122"""
Diman Regional Technical Institute,251 Stonehaven Rd,Fall River,MA,"""02723"""
Diman Regional Technical Institute,251 Stonehaven Rd,Fall River,MA,"""02723"""
Diman Regional Technical Institute,251 Stonehaven Rd,Fall River,MA,"""02723"""
Dimock Community Health Center Residency in Community Health Optometry,Eye Care Services 55 Dimock Street,Roxbury,MA,"""02119"""
Dine College,P.O. Box 126,Tsaile,AZ,"""86556"""
Dine College,P.O. Box 126,Tsaile,AZ,"""86556"""
Dine College,P.O. Box 126,Tsaile,AZ,"""86556"""
Dine College,P.O. Box 126,Tsaile,AZ,"""86556"""
Dine College,P.O. Box 126,Tsaile,AZ,"""86556"""
Dine College,P.O. Box 126,Tsaile,AZ,"""86556"""
Dine College,P.O. Box 126,Tsaile,AZ,"""86556"""
Dine College,P.O. Box 126,Tsaile,AZ,"""86556"""
Discovery Diving Company,414 Orange Street,Beaufort,NC,"""28516"""
Divas Unlimited Academy,3306 Brown Road,St. Louis,MO,"""63114"""
Divers Academy International,"Lakeside Business Park, 1500 Liberty Place",Erial,NJ,"""08081"""
Divers Institute of Technology,4315 11th Ave NW,Seattle,WA,"""98107-0667"""
Diversified Vocational College - Los Angeles,1670 Wilshire Boulevard,Los Angeles,CA,"""90017"""
Diversified Vocational College - Los Angeles,1670 Wilshire Boulevard,Los Angeles,CA,"""90017"""
Diversified Vocational College - Los Angeles,1670 Wilshire Boulevard,Los Angeles,CA,"""90017"""
Divine Crown Academy of Cosmetology,"101 South 25th Street, Suite 50",Harrisburg,PA,"""17104"""
Divine Word College,102 Jacoby Dr SW,Epworth,IA,"""52045"""
Division of Public Health Dietetic Internsip,"2 Peachtree Street Northwest, Suite 11-254",Atlanta,GA,"""30303-3142"""
Dixie Applied Technology College,1506 South Silicon Way,St. George,UT,"""84770"""
Dixie Applied Technology College,1506 South Silicon Way,St. George,UT,"""84770"""
Dixie State university,225 S 700 E,Saint George,UT,"""84770-3876"""
Dixie State university,225 S 700 E,Saint George,UT,"""84770-3876"""
Dixie State university,225 S 700 E,Saint George,UT,"""84770-3876"""
Dixie State university,225 S 700 E,Saint George,UT,"""84770-3876"""
Dixie State university,225 S 700 E,Saint George,UT,"""84770-3876"""
Dixie State university,225 S 700 E,Saint George,UT,"""84770-3876"""
Dixie State university,225 S 700 E,Saint George,UT,"""84770-3876"""
Dixie State university,225 S 700 E,Saint George,UT,"""84770-3876"""
D'Jay's Institute of Cosmetology and Esthiology,10120 Red Oak Drive,Baton Rouge,LA,"""70815"""
D'Mart Institute,Carr 156 Km 17.1 Bo Honduras Ste 215 Centro Comerc IAL,Barranquitas,PR,"""00794"""
D'Mart Institute - Corozal,Carreterra 159 Km 1.5 Desvio Corozal,Corozal,PR,"""00783"""
D'Mart Institute - Ponce,Mayor Street #46 Sol Corner,Ponce,PR,"""00731"""
D'Mart Institute - Vega Alta,The Gallery at Gran Cabibe Carr. #2 Km 29.7,Vega Alta,PR,"""00962"""
Doane College,1014 Boswell Avenue,Crete,NE,"""68333"""
Doane College,1014 Boswell Avenue,Crete,NE,"""68333"""
Doane College,1014 Boswell Avenue,Crete,NE,"""68333"""
Doane College,1014 Boswell Avenue,Crete,NE,"""68333"""
Doane College,1014 Boswell Avenue,Crete,NE,"""68333"""
Doane College,1014 Boswell Avenue,Crete,NE,"""68333"""
Doane College,1014 Boswell Avenue,Crete,NE,"""68333"""
Doane College,1014 Boswell Avenue,Crete,NE,"""68333"""
Doane College,1014 Boswell Avenue,Crete,NE,"""68333"""
Doane College,1014 Boswell Avenue,Crete,NE,"""68333"""
Doane College,1014 Boswell Avenue,Crete,NE,"""68333"""
Doane College,1014 Boswell Avenue,Crete,NE,"""68333"""
Doane College,1014 Boswell Avenue,Crete,NE,"""68333"""
Doane College,1014 Boswell Avenue,Crete,NE,"""68333"""
Doane College,1014 Boswell Avenue,Crete,NE,"""68333"""
Doane College,1014 Boswell Avenue,Crete,NE,"""68333"""
Doane College,1014 Boswell Avenue,Crete,NE,"""68333"""
Doane College,1014 Boswell Avenue,Crete,NE,"""68333"""
Dodge City Community College,2501 N 14th Ave,Dodge City,KS,"""67801-2399"""
Dodge City Community College,2501 N 14th Ave,Dodge City,KS,"""67801-2399"""
Dodge City Community College,2501 N 14th Ave,Dodge City,KS,"""67801-2399"""
Dodge City Community College,2501 N 14th Ave,Dodge City,KS,"""67801-2399"""
Dodge City Community College,2501 N 14th Ave,Dodge City,KS,"""67801-2399"""
Dodge City Community College,2501 N 14th Ave,Dodge City,KS,"""67801-2399"""
Dodge City Community College,2501 N 14th Ave,Dodge City,KS,"""67801-2399"""
Dolphin Technical Institute,4835 Concord,Beaumont,TX,"""77703"""
Dominican College of Blauvelt,470 Western Hwy,Orangeburg,NY,"""10962-1210"""
Dominican College of Blauvelt,470 Western Hwy,Orangeburg,NY,"""10962-1210"""
Dominican College of Blauvelt,470 Western Hwy,Orangeburg,NY,"""10962-1210"""
Dominican College of Blauvelt,470 Western Hwy,Orangeburg,NY,"""10962-1210"""
Dominican College of Blauvelt,470 Western Hwy,Orangeburg,NY,"""10962-1210"""
Dominican College of Blauvelt,470 Western Hwy,Orangeburg,NY,"""10962-1210"""
Dominican College of Blauvelt,470 Western Hwy,Orangeburg,NY,"""10962-1210"""
Dominican College of Blauvelt,470 Western Hwy,Orangeburg,NY,"""10962-1210"""
Dominican House of Studies,487 Michigan Ave NE,Washington,DC,"""20017-1585"""
Dominican House of Studies,487 Michigan Ave NE,Washington,DC,"""20017-1585"""
Dominican School of Philosophy and Theology,2301 Vine Street,Berkeley,CA,"""94708-1816"""
Dominican School of Philosophy and Theology,2301 Vine Street,Berkeley,CA,"""94708-1816"""
Dominican Study Center of the Caribbean,Apartado Postal 1968,Bayamon,PR,"""00960-1968"""
Dominican University,7900 W Division St,River Forest,IL,"""60305"""
Dominican University,7900 W Division St,River Forest,IL,"""60305"""
